stock_id,date,上月比較增減(%),上月營收,前期比較增減(%),去年同月增減(%),去年當月營收,去年累計營收,當月營收,當月累計營收,備註
2330,2005-02-10 00:00:00,4.63,19919339.0,8.8,8.8,19155894,19155894,20842779.0,20842779,
2330,2005-03-10 00:00:00,-17.47,20842779.0,1.33,-6.44,18385262,37541156,17200047.0,38042827,
2330,2005-04-10 00:00:00,2.38,17200047.0,-3.23,-11.82,19972049,57513205,17610390.0,55653217,
2330,2005-05-10 00:00:00,7.34,17610390.0,-4.59,-8.37,20630606,78143811,18903406.0,74556623,
2330,2005-06-10 00:00:00,3.19,18903406.0,-5.8,-10.18,21719561,99863372,19507661.0,94064283,
2330,2005-07-10 00:00:00,3.06,19507661.0,-6.71,-10.71,22519074,122382446,20105150.0,114169434,
2330,2005-08-10 00:00:00,3.69,20105150.0,-7.22,-9.93,23147633,145530079,20847066.0,135016500,
2330,2005-09-10 00:00:00,11.2,20847066.0,-6.36,-0.99,23413876,168943954,23182037.0,158198537,
2330,2005-10-10 00:00:00,8.82,23182037.0,-4.52,8.86,23173529,192117483,25228512.0,183427049,
2330,2005-11-10 00:00:00,3.95,25228512.0,-2.52,14.18,22969780,215087263,26227155.0,209654203,
2330,2005-12-10 00:00:00,4.92,26227155.0,0.46,31.12,20985825,236073088,27518437.0,237172641,
2330,2006-01-10 00:00:00,-0.37,27518437.0,3.35,37.63,19919338,255992427,27415724.0,264588364,
2330,2006-02-10 00:00:00,-4.51,27415724.0,25.59,25.59,20842779,20842779,26177607.0,26177607,
2330,2006-03-10 00:00:00,-8.28,26177607.0,31.92,39.58,17200048,38042827,24008853.0,50186460,
2330,2006-04-10 00:00:00,12.9,24008853.0,38.88,53.92,17610390,55653217,27106885.0,77293344,
2330,2006-05-10 00:00:00,0.2,27106885.0,40.1,43.69,18903406,74556623,27162375.0,104455720,
2330,2006-06-10 00:00:00,-1.44,27162375.0,39.5,37.22,19507661,94064283,26770174.0,131225894,
2330,2006-07-10 00:00:00,1.95,26770174.0,38.84,35.76,20105150,114169434,27294797.0,158520691,
2330,2006-08-10 00:00:00,0.99,27294797.0,37.82,32.23,20847066,135016500,27566707.0,186087397,
2330,2006-09-10 00:00:00,-2.05,27566707.0,34.69,16.46,23182037,158198537,26999936.0,213087333,
2330,2006-10-10 00:00:00,-0.52,26999936.0,30.81,6.46,25228512,183427049,26858607.0,239945940,
