代碼,商品,新聞內容,日期
6510,精測,精測5月營收2.38億元年減42.38% 1—5月達11.51億元,2023-06-03
8046,南電,南電5月營收33.39億元年減36.15% 1—5月達196.29億元,2023-06-03
3432,台端,台端:公告有關本公司於112/06/03獲悉所投資基金之交易機構Ayers Alliance Financial Group Limited(AA)以email通告事宜,2023-06-03
1795,美時,美時:公告本公司董事會通過與Alvogen US共同取得NeuroRx Inc.躁鬱症藥NRX-101開發、製造及全球獨家銷售權,2023-06-03
2514,龍邦,龍邦:澄清媒體報導,2023-06-03
2882,國泰金,"國泰金:本公司代子公司國泰人壽公告取得KPS Special Situations Fund VI (A), LP",2023-06-02
8916,光隆,光隆:本公司受邀參加永豐金證券舉辦之法人座談會,2023-06-02
3043,科風,科風:代重要子公司科風國際股份有限公司公告董事會決議轉投資Powercom America Inc.解散清算案,2023-06-02
1409,新纖,新纖:公告本公司112年股東常會通過解除公司法第209條有關新選任董事及其代表人競業禁止之限制。,2023-06-02
1409,新纖,新纖:公告本公司董事及獨立董事當選名單,2023-06-02
1409,新纖,新纖:公告本公司112年股東常會重要決議事項,2023-06-02
2316,楠梓電,"楠梓電:代重要子公司WUS GROUP HOLDINGS CO., LTD.公告董事會決議發放股利",2023-06-02
2882,國泰金,國泰金:本公司代子公司國泰人壽公告取得CVC Capital Partners IX,2023-06-02
4915,致伸,致伸:本公司董事會決議除息基準日,2023-06-02
2886,兆豐金,兆豐金:公告本公司之子公司兆豐國際證券投資信託(股)公司董事辭任案,2023-06-02
6472,保瑞,保瑞:公告本公司受元大證券邀請參加法人說明會,2023-06-02
1409,新纖,新纖:公告本公司薪資報酬委員會委員任期屆滿,2023-06-02
6584,南俊國際,南俊國際:公告本公司112年股東常會重要決議事項,2023-06-02
4958,臻鼎-KY,臻鼎-KY:本公司與聯貸銀行團簽訂聯合授信合約,2023-06-02
2734,易飛網,易飛網:代重要子公司飛買家股份有限公司公告董事會決議召開112年股東常會相關事宜(增列召集事由),2023-06-02
1590,亞德客-KY,亞德客-KY5月營收27.72億元年增4.6% 1—5月達123.66億元,2023-06-02
3066,李洲,李洲5月營收0.18億元年減23.27% 1—5月達0.92億元,2023-06-02
3564,其陽,其陽5月營收1.59億元年減24.98% 1—5月達8.21億元,2023-06-02
3591,艾笛森,艾笛森5月營收1.56億元年增1.38% 1—5月達7.79億元,2023-06-02
3675,德微,德微5月營收1.51億元年減21.37% 1—5月達7.34億元,2023-06-02
4128,中天,中天5月營收1.18億元年減21.25% 1—5月達6.40億元,2023-06-02
4743,合一,合一5月營收0.06億元年增9.26% 1—5月達0.34億元,2023-06-02
6538,倉和,倉和5月營收1.56億元年增30.26% 1—5月達7.35億元,2023-06-02
8215,明基材,明基材5月營收15.37億元年增14.96% 1—5月達71.01億元,2023-06-02
8432,東生華,東生華5月營收0.42億元年增15.81% 1—5月達1.99億元,2023-06-02
