代碼,商品,新聞內容,日期
2002,中鋼,中鋼看鋼市 下半年樂觀,2023/6/7
2206,三陽工業,三陽工業 Q2可望賺贏Q1,2023/6/7
2317,鴻海,WWDC 2023新品齊發 鴻海雨露均霑,2023/6/7
2356,英業達,英業達攻IC設計 報捷,2023/6/7
2727,王品,王品平價火鍋店 衝百家,2023/6/7
3673,TPK-KY,宸鴻5箭齊發 2024年試產車用光達,2023/6/7
6176,瑞儀,瑞儀 進軍電子紙/車載與雙R添戰力,2023/6/7
6414,樺漢,樺漢 三大事業帶勁,2023/6/7
6830,汎銓,汎銓 斥資4億擴廠,2023/6/7
8033,雷虎,雷虎拚軍工 海外搶單,2023/6/7
2330,台積電,台積電 CoWoS設備大灑急單,2023/6/6
2382,廣達,廣達 伺服器類產品詢問度大增,2023/6/6
2455,全新,全新 手機急單湧現,2023/6/6
2467,志聖,台積電 CoWoS設備大灑急單,2023/6/6
2610,華航,航空貨運 迎價量齊揚旺季,2023/6/6
2618,長榮航,航空貨運 迎價量齊揚旺季,2023/6/6
3131,弘塑,台積電 CoWoS設備大灑急單,2023/6/6
3443,創意,創意 營收寫最旺5月,2023/6/6
3711,日月光投控,日月光投控 獲台積電先進封裝大單,2023/6/6
5443,均豪,台積電 CoWoS設備大灑急單,2023/6/6
6446,藥華藥,藥華藥 罕見血癌新藥在美銷售報捷,2023/6/6
6505,台塑化,沙國加碼減產 油價走高,2023/6/6
8028,昇陽半導體,昇陽半導體攻頂 Q3動能強,2023/6/6
6885,全福生技,全福生技三引擎 轉動獲利,2023/6/6
1533,車王電,美列AEB為標配 車王電受惠,2023/6/5
2012,春雨,中鋼擬降價 春雨受惠,2023/6/5
2317,鴻海,AI含金量高科技股 營運火,2023/6/5
2317,鴻海,iPhone 15量產 台鏈動了,2023/6/5
2317,鴻海,蘋果WWDC將登場 鴻海沾光,2023/6/5
2330,台積電,iPhone 15量產 台鏈動了,2023/6/5
2330,台積電,台積電2奈米試產 有動作了,2023/6/5
2357,華碩,5G專網上路 三招鼓勵申請,2023/6/5
2368,金像電,金像電 Q2拚雙位數成長,2023/6/5
2382,廣達,AI含金量高科技股 營運火,2023/6/5
2409,友達,顯示器四強升級 銀彈上膛,2023/6/5
2436,偉詮電,偉詮電：Q3營運將成長,2023/6/5
2546,根基,根基 在手工程衝547億,2023/6/5
2603,長榮,SCFI運價指數重返千點,2023/6/5
