代碼,股利發放年度,股利合計,盈4,盈配率
1101,2022,1.999,0.74,2.7013513513513514
1101,2021,3.368,3.3,1.0206060606060605
1101,2020,3.001,4.32,0.6946759259259259
1101,2019,4.006,,
1102,2022,3.4,3.63,0.9366391184573003
1102,2021,3.463,4.7,0.7368085106382979
1102,2020,3.0,4.7,0.6382978723404255
1102,2019,2.8,,
1103,2022,0.65,-0.28,-2.321428571428571
1103,2021,1.396,1.02,1.368627450980392
1103,2020,1.002,2.74,0.36569343065693427
1103,2019,1.0,,
1104,2022,1.0,3.12,0.3205128205128205
1104,2021,1.1,1.66,0.6626506024096387
1104,2020,1.0,1.91,0.5235602094240838
1104,2019,1.0,,
1108,2022,0.6,1.44,0.4166666666666667
1108,2021,0.7,0.65,1.0769230769230769
1108,2020,0.15,0.97,0.15463917525773196
1109,2022,1.504,1.17,1.2854700854700856
1109,2021,1.5,2.52,0.5952380952380952
1109,2020,1.1,2.94,0.3741496598639456
1109,2019,0.8,,
1110,2022,0.2,0.26,0.7692307692307693
1110,2021,0.1,0.25,0.4
1110,2020,0.1,0.04,2.5
1110,2019,0.1,,
1201,2022,0.501,0.47,1.0659574468085107
1201,2021,0.53,1.0,0.53
1201,2020,1.334,1.06,1.258490566037736
1201,2019,0.8,,
1203,2022,1.1,2.63,0.4182509505703423
1203,2021,1.1,1.88,0.5851063829787235
1203,2020,1.0,1.81,0.5524861878453039
1203,2019,1.0,,
1210,2022,2.0,2.59,0.7722007722007722
1210,2021,3.0,2.32,1.293103448275862
1210,2020,2.2,3.99,0.5513784461152882
1210,2019,2.0,,
1215,2022,4.0,5.28,0.7575757575757576
1215,2021,4.5,5.06,0.8893280632411068
1215,2020,4.0,6.18,0.6472491909385114
1215,2019,3.0,,
1216,2022,2.7,3.02,0.8940397350993378
1216,2021,2.7,3.5,0.7714285714285715
1216,2020,2.5,3.79,0.6596306068601583
1216,2019,2.5,,
1217,2023,0.4,0.5900000000000001,0.6779661016949152
1217,2022,0.3,0.56,0.5357142857142857
1218,2023,4.0,11.74,0.34071550255536626
1218,2022,1.0,12.17,0.08216926869350863
1218,2021,1.4,1.22,1.1475409836065573
1218,2020,0.9,1.75,0.5142857142857143
1218,2019,0.8,,
1219,2022,1.1,1.0,1.1
1219,2021,1.0,1.0,1.0
1219,2020,0.4,1.91,0.20942408376963353
1219,2019,0.1,,
1220,2022,1.0,0.26,3.846153846153846
1220,2021,1.0,1.0,1.0
1220,2020,0.6,1.02,0.5882352941176471
1220,2019,0.46,,
1225,2022,1.6,1.69,0.9467455621301776
1225,2021,1.4,2.07,0.6763285024154589
1225,2020,1.3,1.72,0.7558139534883721
1225,2019,1.15,,
1227,2022,1.9,1.34,1.417910447761194
1227,2021,2.5,2.7,0.9259259259259258
1227,2020,2.65,3.54,0.7485875706214689
1227,2019,2.5,,
1229,2022,2.3,2.63,0.8745247148288973
1229,2021,2.7,2.92,0.9246575342465754
1229,2020,3.2,2.43,1.316872427983539
1229,2019,2.1,,
1231,2022,2.6,3.89,0.6683804627249358
1231,2021,2.6,4.03,0.6451612903225806
1231,2020,2.1,3.74,0.5614973262032086
1231,2019,2.3,,
1232,2023,6.0,6.85,0.8759124087591241
1232,2022,6.0,7.66,0.783289817232376
1232,2021,6.0,7.76,0.7731958762886598
1232,2020,5.0,8.08,0.6188118811881188
1232,2019,5.0,,
1233,2023,0.85,0.73,1.1643835616438356
1233,2022,0.8,0.57,1.4035087719298247
1233,2021,0.8,0.48,1.6666666666666667
1233,2020,1.6,0.63,2.53968253968254
1233,2019,1.9,,
1234,2023,1.8,2.3699999999999997,0.7594936708860761
1234,2022,1.7,2.21,0.7692307692307693
1234,2021,1.8,1.98,0.9090909090909092
1234,2020,1.7,2.22,0.7657657657657657
1234,2019,1.6,,
1235,2022,3.8,1.31,2.900763358778626
1235,2021,1.5,0.81,1.8518518518518516
1235,2020,1.1,0.65,1.6923076923076923
1236,2023,1.0,0.04999999999999982,20.00000000000007
1236,2022,0.5,3.91,0.1278772378516624
1236,2021,0.2,-0.25,-0.8
1236,2020,0.3,0.0,inf
1236,2019,0.4,,
1256,2022,13.0,11.92,1.0906040268456376
1256,2021,12.0,20.94,0.5730659025787965
1256,2020,6.2,22.99,0.2696824706394085
1256,2019,7.2,,
1702,2023,2.0,2.05,0.9756097560975611
1702,2022,2.2,2.26,0.9734513274336285
1702,2021,2.0,4.32,0.4629629629629629
1702,2020,2.0,3.84,0.5208333333333334
1702,2019,2.7,,
1737,2022,1.5,2.13,0.7042253521126761
1737,2021,1.35,1.97,0.6852791878172589
1737,2020,1.5,1.83,0.819672131147541
1737,2019,1.8,,
1301,2022,8.2,5.68,1.4436619718309858
1301,2021,2.4,11.21,0.21409455842997321
1301,2020,4.4,3.15,1.396825396825397
1301,2019,5.8,,
1303,2022,7.5,4.05,1.8518518518518519
1303,2021,2.4,10.25,0.23414634146341462
1303,2020,2.2,3.24,0.6790123456790124
1303,2019,5.0,,
1304,2022,2.2,1.45,1.517241379310345
1304,2021,1.0,4.84,0.2066115702479339
1304,2020,0.5,2.25,0.2222222222222222
1304,2019,0.3,,
1305,2022,2.5,-0.64,-3.90625
1305,2021,2.3,4.25,0.5411764705882353
1305,2020,1.0,2.95,0.3389830508474576
1305,2019,1.9,,
1307,2022,0.5,1.18,0.42372881355932207
1307,2021,0.5,0.29,1.7241379310344829
1307,2020,0.8,0.55,1.4545454545454546
1307,2019,0.5,,
1308,2022,3.0,2.44,1.2295081967213115
1308,2021,1.4,5.22,0.2681992337164751
1308,2020,1.1,1.9,0.5789473684210527
1308,2019,0.3,,
1309,2022,2.5,1.04,2.4038461538461537
1309,2021,3.0,4.89,0.6134969325153374
1309,2020,0.6,5.58,0.1075268817204301
1309,2019,0.4,,
1310,2022,0.15,-0.71,-0.2112676056338028
1310,2021,0.5,0.2,2.5
1310,2020,1.0,0.55,1.8181818181818181
1310,2019,2.0,,
1312,2022,2.0,-0.56,-3.571428571428571
1312,2021,0.1,6.47,0.01545595054095827
1313,2023,0.2,-1.66,-0.12048192771084339
1313,2022,1.0,-0.94,-1.0638297872340425
1313,2021,1.0,1.66,0.6024096385542169
1313,2020,0.2,1.62,0.12345679012345678
1313,2019,0.496,,
1314,2022,0.4,0.06,6.666666666666667
1314,2020,0.3,0.21,1.4285714285714286
1314,2019,1.0,,
1315,2023,3.5,6.9,0.5072463768115941
1315,2022,5.0,7.41,0.6747638326585695
1315,2021,6.0,0.04,150.0
1315,2020,7.65,31.97,0.23928683140444168
1315,2019,1.2,,
1321,2022,0.7,-0.19,-3.6842105263157894
1321,2021,1.0,1.45,0.6896551724137931
1323,2023,1.1,1.7099999999999995,0.6432748538011698
1323,2022,1.6,2.05,0.7804878048780489
1323,2021,1.6,3.04,0.5263157894736842
1323,2020,1.6,3.2,0.5
1323,2019,1.8,,
1324,2022,0.2,0.06,3.3333333333333335
1324,2021,0.3,0.01,30.0
1324,2020,0.3,0.22,1.3636363636363635
1324,2019,0.3,,
1325,2022,2.0,0.19,10.526315789473685
1325,2021,12.0,3.26,3.6809815950920246
1325,2020,0.3,23.16,0.012953367875647668
1325,2019,0.5,,
1326,2023,0.95,0.08999999999999986,10.555555555555571
1326,2022,4.8,1.26,3.8095238095238093
1326,2021,2.5,6.56,0.38109756097560976
1326,2020,3.8,3.34,1.1377245508982037
1326,2019,6.2,,
1340,2019,1.2,,
1341,2022,9.131,5.95,1.5346218487394958
1341,2021,6.0,5.99,1.001669449081803
1341,2020,5.0,6.29,0.794912559618442
1341,2019,3.0,,
4306,2022,1.0,1.72,0.5813953488372093
4306,2021,1.191,1.47,0.8102040816326531
4306,2020,0.305,1.51,0.20198675496688742
4306,2019,0.495,,
1402,2022,1.5,1.63,0.9202453987730062
1402,2021,1.35,1.94,0.6958762886597939
1402,2020,1.5,1.62,0.9259259259259258
1402,2019,1.8,,
1409,2022,1.4,1.75,0.7999999999999999
1409,2021,1.1,2.41,0.45643153526970953
1409,2020,0.55,1.79,0.30726256983240224
1409,2019,0.85,,
1410,2022,1.3,0.9,1.4444444444444444
1410,2021,0.9,1.29,0.6976744186046512
1410,2020,1.0,0.95,1.0526315789473684
1410,2019,1.3,,
1414,2023,0.32,0.32,1.0
1414,2022,0.538,0.47,1.14468085106383
1414,2021,0.246,0.65,0.37846153846153846
1414,2020,0.2,0.27,0.7407407407407407
1414,2019,0.2,,
1417,2022,0.35,0.56,0.6249999999999999
1417,2021,0.3,0.56,0.5357142857142857
1417,2020,0.5,-1.86,-0.26881720430107525
1419,2022,1.0,6.92,0.14450867052023122
1419,2021,1.0,1.51,0.6622516556291391
1419,2020,1.0,1.22,0.819672131147541
1419,2019,0.848,,
1423,2022,0.75,0.53,1.4150943396226414
1423,2021,1.8,1.11,1.6216216216216215
1423,2020,0.12,2.56,0.046875
1434,2022,1.0,2.02,0.49504950495049505
1434,2021,1.0,1.27,0.7874015748031495
1434,2020,2.5,1.25,2.0
1434,2019,2.1,,
1439,2022,0.2,1.14,0.1754385964912281
