代碼,營業利益率,盈比,盈4,盈單,稅後淨利年成長率,營業利益年成長率,季度
1101,-1.48,0.6929133858267719,1.2699999999999996,0.22,-90.43,-107.8,2022Q3
1101,-3.74,-0.09756097560975613,1.64,-0.04000000000000001,-100.7,-116.0,2022Q2
1101,0.9,0.27303754266211605,2.93,0.2,-77.04,-95.07,2022Q1
1101,18.48,1.0787878787878784,3.3,0.8899999999999997,-24.26,-37.46,2021Q4
1101,19.64,0.659217877094972,3.5800000000000005,0.5900000000000001,-21.57,-35.15,2021Q3
1101,22.49,1.1904761904761902,4.200000000000001,1.25,-1.01,-21.21,2021Q2
1101,19.09,0.5253456221198155,4.340000000000001,0.57,7.16,-12.01,2021Q1
1101,29.87,1.0833333333333337,4.32,1.1700000000000004,9.96,4.91,2020Q4
1101,30.48,0.0,0.0,1.21,9.53,11.5,2020Q3
1101,29.26,0.0,0.0,1.39,2.23,11.77,2020Q2
1101,24.15,0.0,0.0,0.55,-17.7,-4.99,2020Q1
1102,11.34,1.146551724137931,4.640000000000001,1.33,-7.99,-40.18,2022Q3
1102,12.44,1.2413793103448274,4.3500000000000005,1.3499999999999999,-19.21,-39.15,2022Q2
1102,12.52,0.6846846846846848,4.4399999999999995,0.76,-29.42,-33.81,2022Q1
1102,19.73,1.021276595744681,4.7,1.2000000000000002,-6.64,-10.09,2021Q4
1102,20.28,0.8489795918367348,4.8999999999999995,1.04,0.08,-4.16,2021Q3
1102,22.41,1.0607734806629834,5.43,1.44,34.85,21.5,2021Q2
1102,20.83,0.7445255474452555,5.48,1.02,240.5,84.16,2021Q1
1102,25.14,1.1914893617021278,4.7,1.4000000000000004,-15.6,-10.85,2020Q4
1102,23.97,0.0,0.0,1.5699999999999998,-23.32,-19.28,2020Q3
1102,21.97,0.0,0.0,1.49,-40.24,-31.62,2020Q2
1102,15.39,0.0,0.0,0.24,-70.33,-46.49,2020Q1
1103,-20.34,-6.83333333333333,-0.2400000000000001,0.41,-130.9,26.22,2022Q3
1103,-20.95,-3.397260273972603,0.73,-0.62,-80.83,27.4,2022Q2
1103,-19.56,-0.4363636363636363,1.1,-0.12,35.79,25.87,2022Q1
1103,-23.67,0.3529411764705881,1.02,0.08999999999999997,-59.33,-163.9,2021Q4
1103,-26.54,1.9368421052631577,2.8500000000000005,1.3800000000000001,14.58,11.35,2021Q3
1103,-27.07,-0.4166666666666667,2.4,-0.25,-430.6,6.64,2021Q2
1103,-24.84,-0.2787456445993031,2.87,-0.2,43.83,14.88,2021Q1
1103,39.96,2.802919708029197,2.74,1.9200000000000004,30.48,289.2,2020Q4
1103,-33.45,0.0,0.0,0.9299999999999999,-62.82,-119.3,2020Q3
1103,-31.99,0.0,0.0,0.22000000000000003,-106.6,-176.8,2020Q2
1103,-32.08,0.0,0.0,-0.33,-244.2,-183.9,2020Q1
1104,10.88,1.2800000000000002,2.75,0.8800000000000001,94.83,21.01,2022Q3
1104,10.78,0.9216589861751154,2.17,0.5000000000000001,60.21,16.76,2022Q2
1104,11.21,1.539906103286385,2.13,0.82,127.0,21.28,2022Q1
1104,11.68,1.3253012048192767,1.66,0.5499999999999998,-11.55,44.02,2021Q4
1104,10.44,0.7100591715976332,1.69,0.30000000000000004,-14.98,50.51,2021Q3
1104,10.43,0.9246231155778897,1.9899999999999998,0.4600000000000001,12.76,65.72,2021Q2
1104,9.83,0.639269406392694,2.19,0.35,392.4,110.0,2021Q1
1104,9.09,1.214659685863874,1.91,0.5799999999999998,10.35,188.6,2020Q4
1104,7.78,0.0,0.0,0.6000000000000001,25.23,397.4,2020Q3
1104,7.05,0.0,0.0,0.6599999999999999,5.8,523.8,2020Q2
1104,5.38,0.0,0.0,0.07,-69.25,566.1,2020Q1
1108,13.41,1.3469387755102042,0.98,0.33,80.3,73.73,2022Q3
1108,13.18,1.5135135135135134,0.74,0.27999999999999997,28.19,38.87,2022Q2
1108,9.72,0.8484848484848485,0.66,0.14,0.84,11.15,2022Q1
1108,8.98,1.4153846153846155,0.65,0.23000000000000004,-33.16,-24.34,2021Q4
1108,7.83,0.6206896551724137,0.5799999999999998,0.08999999999999997,-48.31,-40.26,2021Q3
1108,8.61,1.0810810810810811,0.74,0.2,-41.34,-30.91,2021Q2
1108,7.36,0.5977011494252873,0.8700000000000001,0.13,-41.86,-30.07,2021Q1
1108,9.88,0.6597938144329893,0.97,0.15999999999999992,754.5,474.6,2020Q4
1108,11.34,0.0,0.0,0.25,36473.0,1775.0,2020Q3
1108,11.61,0.0,0.0,0.33000000000000007,1564.0,2299.0,2020Q2
1108,9.97,0.0,0.0,0.23,414.4,517.8,2020Q1
1109,12.86,1.4482758620689653,1.74,0.6299999999999999,-52.98,-48.23,2022Q3
1109,13.99,-0.16901408450704222,1.4200000000000002,-0.06,-82.05,-57.48,2022Q2
1109,10.32,0.5333333333333333,1.9500000000000002,0.26,-72.44,-73.84,2022Q1
1109,23.82,1.4444444444444442,2.52,0.9099999999999999,-16.29,-16.4,2021Q4
1109,22.52,0.43816254416961137,2.83,0.31000000000000005,-9.92,-11.24,2021Q3
1109,26.74,0.56797583081571,3.31,0.4700000000000001,33.3,17.86,2021Q2
1109,26.99,0.9485714285714285,3.5,0.83,191.9,125.1,2021Q1
1109,27.69,1.6598639455782314,2.94,1.22,-0.67,1.74,2020Q4
1109,25.1,0.0,0.0,0.7899999999999999,-14.67,-12.48,2020Q3
1109,25.77,0.0,0.0,0.66,-17.84,-9.79,2020Q2
1109,18.64,0.0,0.0,0.27,-32.29,-23.6,2020Q1
1110,-0.72,4.363636363636363,0.11000000000000001,0.12000000000000001,-86.26,-1024.0,2022Q3
1110,-3.13,-3.333333333333333,0.12000000000000001,-0.1,-191.6,-185.7,2022Q2
1110,3.87,0.7407407407407407,0.27,0.05,94.44,495.4,2022Q1
1110,0.65,0.6400000000000001,0.25,0.04000000000000001,689.5,139.4,2021Q4
1110,-0.06,2.166666666666667,0.24,0.13,5492.0,97.38,2021Q3
1110,2.93,1.3333333333333335,0.15,0.05,286.9,218.2,2021Q2
1110,0.74,0.9999999999999999,0.12000000000000001,0.03,145.9,122.9,2021Q1
1110,-1.92,3.0,0.04,0.03,-49.01,-259.3,2020Q4
1110,-2.66,0.0,0.0,0.04,-94.7,-107.5,2020Q3
1110,-3.01,0.0,0.0,0.020000000000000004,-184.5,-257.8,2020Q2
1110,-3.25,0.0,0.0,-0.05,-203.8,-186.1,2020Q1
1201,2.75,1.258426966292135,0.8899999999999999,0.28,-15.42,-23.17,2022Q3
1201,2.79,0.7128712871287127,1.0100000000000002,0.18,1.48,-9.13,2022Q2
1201,2.6,0.7450980392156863,1.02,0.19,13.8,23.37,2022Q1
1201,3.25,0.96,1.0,0.24,-5.28,8.21,2021Q4
1201,3.67,1.3559322033898304,1.1800000000000002,0.4,19.34,12.57,2021Q3
1201,3.12,0.6280991735537189,1.21,0.18999999999999997,68.98,65.63,2021Q2
1201,2.19,0.576271186440678,1.18,0.17,226.8,114.0,2021Q1
1201,3.19,1.5849056603773586,1.06,0.42000000000000004,-60.31,9.26,2020Q4
1201,3.47,0.0,0.0,0.43000000000000005,-74.92,-2.54,2020Q3
1201,2.04,0.0,0.0,0.15999999999999998,-90.68,6.24,2020Q2
1201,1.13,0.0,0.0,0.05,-97.69,411.1,2020Q1
1203,13.78,2.2900763358778624,2.6199999999999997,1.4999999999999998,31.72,-3.75,2022Q3
1203,14.56,0.4358974358974361,1.5599999999999996,0.17000000000000004,-18.21,-1.01,2022Q2
1203,18.93,1.2291666666666667,1.9199999999999997,0.59,8.31,11.83,2022Q1
1203,14.86,0.7659574468085104,1.88,0.3599999999999999,0.45,-11.21,2021Q4
1203,15.11,0.9565217391304346,1.84,0.43999999999999995,0.89,-7.98,2021Q3
1203,15.47,1.0816326530612246,1.96,0.53,10.82,0.37,2021Q2
1203,17.42,1.182795698924731,1.8600000000000003,0.55,1.5,-7.57,2021Q1
1203,16.13,0.707182320441989,1.81,0.32000000000000006,-3.28,5.56,2020Q4
1203,16.09,0.0,0.0,0.5599999999999999,5.85,7.38,2020Q3
