code,content,date
安瑞-KY,安瑞-KY:公告召開本公司112年第1次股東臨時會相關事項,2022-12-27
安瑞-KY,安瑞-KY:公告本公司董事會決議發行限制員工權利新股,2022-12-27
安瑞-KY,安瑞-KY:公告本公司董事會決議辦理以私募方式發行普通股案,2022-12-27
安瑞-KY,安瑞-KY:公告本公司會計主管及內部稽核主管異動,2022-12-27
宣德,宣德:代子公司立訊精密組件(昆山)有限公司依公開發行公司資金貸與及背書保證處理準則第二十二條第一項第一款、第二款及第三款規定,2022-12-27
正達,正達:公告本公司法人董事辭任,2022-12-27
新光金,新光金:代子公司新光人壽公告風控長異動事宜,2022-12-27
碩天,碩天:碩天科技股份有限公司國內第一次無擔保轉換公司債(簡稱：碩天一，代碼：36171)到期還本暨終止上櫃事宜。,2022-12-27
眾達-KY,眾達-KY:公告本公司111年現金增資新股發放暨上市日期,2022-12-27
眾達-KY,眾達-KY:公告本公司111年現金增資全體董事放棄認購股數達得認購股數二分之一以上，並洽特定人認購之事宜。,2022-12-27
眾達-KY,眾達-KY:本公司111年現金增資催繳公告,2022-12-27
碩天,碩天:公告本公司國內第一次無擔保轉換公司債到期還本暨終止上櫃事宜,2022-12-27
經緯航,經緯航:公告本公司取得國家中山科學研究院航空研究所「CA載具系統維護等6項」案,2022-12-27
富邦金,富邦金:本公司發行111年度第一期無擔保普通公司債丙券第1次付息公告,2022-12-27
富邦金,富邦金:本公司發行111年度第一期無擔保普通公司債乙券第1次付息公告,2022-12-27
富邦金,富邦金:本公司發行111年度第一期無擔保普通公司債甲券第1次付息公告,2022-12-27
聯光通,聯光通:公告本公司減資換發股票發放暨上櫃買賣日期 (上櫃股票代號：4903),2022-12-27
經緯航,經緯航:公告本公司取得國家中山科學研究院航空研究所「UAV機體結構及起落架維修(廠修)等5項」案,2022-12-27
欣興,欣興:本公司取得廠務工程之相關資料,2022-12-27
潤泰新,潤泰新:擬與潤德設計簽訂【潤泰文樺外牆石材大板買賣】及【潤泰鼎峰公設景觀工程】結算協議事宜,2022-12-27
潤泰新,潤泰新:擬與潤德設計簽訂潤泰敦峰A1-8F及9F實品屋裝修潤泰峰左岸景觀前期潤泰大安富陽公設景觀梯廳承攬契約,2022-12-27
