code,content,date
鴻準,鴻準3月營收81.73億元年減6.83% 1—3月達237.47億元,2023-04-05
中信金,中信金:代子公司 Land and Houses Securities Public CompanyLimited公告董事選任名單,2023-04-05
中信金,中信金:代子公司Land and Houses Securities Public CompanyLimited 公告股東會重要決議事項,2023-04-05
鴻海,鴻海3月營收4002.93億元年減21.11% 1—3月達14626.92億元,2023-04-05
藥華藥,藥華藥3月營收3.48億元年增163.24% 1—3月達8.88億元,2023-04-05
聯茂,聯茂3月營收22.39億元年減18.8% 1—3月達62.58億元,2023-04-05
泰山,泰山:公告本公司獨立董事對董事會、審計委員會、薪酬委員會討論事項表示反對意見,2023-04-05
順達,順達3月營收16.00億元年減5.74% 1—3月達38.97億元,2023-04-05
大立光,大立光3月營收33.09億元年減11.91% 1—3月達91.36億元,2023-04-05
新光金,新光金:新光金融控股股份有限公司111年度國內第一期無擔保普通公司債付息公告。,2023-04-05
奇鋐,奇鋐:公告本公司111年度現金增資全體董事放棄認購股數達得認購股數二分之一以上，並洽特定人認購事宜。,2023-04-06
桓鼎-KY,桓鼎-KY:代子公司崇佑(中國)新材料有限公司公告取得「捷泰新型高效電池建設專案機電安裝工程標案」,2023-04-06
南璋,南璋:(更正主旨)公告本公司股票仍繼續維持變更交易方法(繼續採預收款券及分盤方式交易),2023-04-06
及成,及成:公告本公司上櫃股票列為變更交易方式,2023-04-06
敦泰,敦泰:公告本公司112年第1季因員工認股權憑證執行而新增發行之股數,2023-04-06
圓剛,圓剛3月營收2.92億元年減11.02% 1—3月達7.04億元,2023-04-06
辣椒,辣椒:依證券商營業處所買賣有價證券業務規則公告變更交易方式,2023-04-06
圓展,圓展3月營收2.38億元年減1.75% 1—3月達5.42億元,2023-04-06
美好證,美好證:更正誤植本公司111年1月至112年2月自結損益申報作業,2023-04-06
兆豐金,兆豐金:代本公司之子公司兆豐國際商業銀行(股)公司公告授信資產之轉讓。,2023-04-06
安心,安心:本公司法人董事代表人異動,2023-04-06
藥華藥,藥華藥:本公司發行限制員工權利新股股票發放暨上櫃公告,2023-04-06
中福,中福:公告本公司上市有價證券經證交所通知列為停止買賣,2023-04-06
老爺知,老爺知3月營收0.38億元年減1.86% 1—3月達1.41億元,2023-04-06
材料-KY,材料-KY3月營收6.70億元年增99.2% 1—3月達15.61億元,2023-04-06
大略-KY,大略-KY:本公司股票變更交易方法公告,2023-04-06
美好證,美好證:更正誤植本公司112年1月及112年2月公告自結損益,2023-04-06
和椿,和椿:更正111年度合併與個體財務報告部分內容(更正附表一資金貸與期末餘額),2023-04-06
艾姆勒,艾姆勒3月營收0.63億元年減23.74% 1—3月達1.71億元,2023-04-06
光隆,光隆:公告本公司112年第1季因員工認股憑證執行而新增發行之股數,2023-04-06
群聯,群聯:公告本公司民國112年第1季因員工認股權憑證執行而新增發行之股數,2023-04-06
興能高,興能高:公告本公司112年第1季員工執行認股權憑證之發行股數,2023-04-06
