代碼,股利發放年度,股利合計
1101,2022,2.0
1101,2021,3.37
1101,2020,3.0
1101,2019,4.01
1101,2018,2.5
1101,2017,1.45
1101,2016,1.33
1101,2015,2.49
1101,2014,2.3
1101,2013,1.9
1101,2012,1.9
1101,2011,2.0
1101,2010,1.8
1101,2009,1.32
1101,2008,2.0
1101,2007,1.8
1101,2006,1.56
1101,2005,1.2
1101,2004,0.7
1101,2003,0.3
1101,2002,0.2
1101,2001,0.3
1101,2000,1.0
1101,1999,1.2
1101,1998,1.5
1101,1997,1.2
1101,1996,1.5
1101,1995,2.2
1101,1994,3.3
1101,1993,3.0
1101,1992,3.0
1101,1991,3.0
1101,1990,3.5
1101,1989,3.0
1101,1988,2.5
1101,1987,1.5
1101,1986,1.3
1101,1985,2.2
1101,1984,2.7
1101,1982,0.0
1102,2022,3.4
1102,2021,3.46
1102,2020,3.0
1102,2019,2.8
1102,2018,1.2
1102,2017,0.9
1102,2016,1.1
1102,2015,2.2
1102,2014,2.0
1102,2013,1.9
1102,2012,2.6
1102,2011,2.1
1102,2010,2.1
1102,2009,2.1
1102,2008,3.0
1102,2007,2.3
1102,2006,2.0
1102,2005,2.0
1102,2004,1.3
1102,2003,0.5
1102,2002,0.2
1102,2001,0.5
1102,2000,1.5
1102,1999,1.5
1102,1998,2.0
1102,1997,1.6
1102,1996,2.0
1102,1995,2.5
1102,1994,3.3
1102,1993,3.0
1102,1992,3.0
1102,1991,3.0
1102,1990,4.0
1102,1989,3.5
1102,1988,3.3
1102,1987,2.2
1102,1986,2.0
1102,1985,2.8
1102,1984,3.6
1103,2022,0.65
1103,2021,1.4
1103,2020,1.0
1103,2019,1.0
1103,2018,0.5
1103,2017,0.2
1103,2016,0.1
1103,2015,0.3
1103,2014,1.0
1103,2013,0.0
1103,2012,0.5
1103,2011,0.6
1103,2010,0.4
1103,2009,0.0
1103,2008,1.0
1103,2007,0.0
1103,2006,0.0
1103,2005,0.0
1103,2004,0.0
1103,2003,0.0
1103,2002,0.0
1103,2001,0.0
1103,2000,0.0
1103,1999,0.4
1103,1998,1.2
1103,1997,1.0
1103,1996,1.0
1103,1995,1.5
1103,1994,2.5
1103,1993,2.0
1103,1992,2.5
1103,1991,2.6
1103,1990,3.0
1103,1989,2.5
1103,1988,2.5
1103,1987,2.4
1103,1986,1.5
1103,1985,2.4
1103,1984,3.9
1104,2022,1.0
1104,2021,1.1
1104,2020,1.0
1104,2019,1.0
1104,2018,1.1
1104,2017,1.5
1104,2016,1.1
1104,2015,1.2
1104,2014,1.1
1104,2013,0.75
1104,2012,0.6
1104,2011,1.0
1104,2010,0.5
1104,2009,0.0
1104,2008,0.8
1104,2007,1.0
1104,2006,1.1
1104,2005,1.1
1104,2004,1.2
1104,2003,0.7
1104,2002,0.0
1104,2001,0.1
1104,2000,0.35
1104,1999,0.4
1104,1998,0.5
1104,1997,0.6
1104,1996,1.2
1104,1995,1.5
1104,1994,2.5
1104,1993,3.0
1104,1992,2.4
1104,1991,2.7
1104,1990,2.8
1104,1989,2.3
1104,1988,2.0
1104,1987,1.25
1104,1986,1.25
1104,1985,2.2
1104,1984,2.6
1108,2022,0.6
1108,2021,0.7
1108,2020,0.15
1108,2019,0.0
1108,2018,0.0
1108,2017,0.6
1108,2016,0.85
1108,2015,0.6
1108,2014,0.45
1108,2013,0.0
1108,2012,0.0
1108,2011,0.0
1108,2010,0.17
1108,2009,0.0
1108,2008,0.25
1108,2007,0.45
1108,2006,0.45
1108,2005,0.3
1108,2004,0.15
1108,2003,0.11
1108,2002,0.0
1108,2001,0.0
1108,2000,0.5
1108,1999,0.6
1108,1998,0.5
1108,1997,1.0
1108,1996,1.0
1108,1995,1.2
1108,1994,2.0
1108,1993,2.2
1108,1992,2.2
1108,1991,2.0
1108,1990,0.75
1108,1989,2.25
1108,1986,0.0
1108,1985,0.0
1109,2022,1.5
1109,2021,1.5
1109,2020,1.1
1109,2019,0.8
1109,2018,0.1
1109,2017,0.1
1109,2016,0.2
1109,2015,0.2
1109,2014,1.2
1109,2013,0.38
1109,2012,0.35
1109,2011,0.28
1109,2010,0.35
1109,2009,0.2
1109,2008,0.5
1109,2007,0.6
1109,2006,0.5
1109,2005,0.5
1109,2004,0.6
1109,2003,0.5
1109,2002,0.1
1109,2001,0.3
1109,2000,0.6
1109,1999,0.7
1109,1998,1.0
1109,1997,1.2
1109,1996,1.5
1109,1995,1.8
1109,1994,2.0
1109,1993,2.5
1109,1992,3.0
1109,1991,3.0
1109,1990,3.33
1109,1988,5.97
1109,1985,6.29
1109,1984,3.62
1110,2022,0.2
1110,2021,0.1
1110,2020,0.1
1110,2019,0.1
1110,2018,0.1
1110,2017,0.1
1110,2016,0.2
1110,2015,0.2
1110,2014,0.2
1110,2013,0.1
1110,2012,0.1
1110,2011,0.1
1110,2010,0.2
1110,2009,0.0
1110,2008,0.4
1110,2007,0.3
1110,2006,0.5
1110,2005,0.25
1110,2004,0.5
1110,2003,0.5
1110,2002,0.0
1110,2001,0.0
1110,2000,0.5
1110,1999,0.4
1110,1998,1.0
1110,1997,1.5
1110,1996,1.5
1110,1995,1.8
1110,1994,2.05
1110,1993,2.5
1110,1992,2.4
1201,2022,0.5
1201,2021,0.53
1201,2020,1.33
1201,2019,0.8
1201,2018,0.0
1201,2017,0.0
1201,2016,0.0
1201,2015,0.0
1201,2014,0.6
1201,2013,0.6
1201,2012,0.6
1201,2011,0.6
1201,2010,0.6
1201,2009,0.0
1201,2008,0.0
1201,2007,0.0
1201,2006,0.0
1201,2005,0.0
1201,2004,0.0
1201,2003,0.0
1201,2002,0.0
1201,2001,0.0
1201,2000,0.0
1201,1999,0.0
1201,1998,0.0
1201,1997,0.8
1201,1996,1.0
1201,1995,0.8
1201,1994,1.2
1201,1993,1.2
1201,1992,1.3
1201,1991,1.3
1201,1990,1.5
1201,1989,1.5
1201,1988,1.3
1201,1987,1.3
1201,1986,1.3
1201,1985,2.0
1201,1984,2.3
1203,2022,1.1
1203,2021,1.1
1203,2020,1.0
1203,2019,1.0
1203,2018,1.3
1203,2017,1.0
1203,2016,1.0
1203,2015,1.0
1203,2014,1.0
1203,2013,0.3
1203,2012,0.5
1203,2011,0.5
1203,2010,1.5
1203,2009,1.0
1203,2008,0.0
1203,2007,0.0
1203,2006,0.0
1203,2005,0.0
1203,2004,0.0
1203,2003,0.0
1203,2002,0.0
1203,2001,0.0
1203,2000,0.0
1203,1999,0.0
1203,1998,0.75
1203,1997,0.68
1203,1996,0.0
1203,1995,1.3
1203,1994,1.2
1203,1993,1.1
1203,1992,1.2
1203,1991,1.7
1203,1990,1.6
1203,1989,1.6
1203,1988,1.6
1203,1987,1.5
1203,1986,1.3
1203,1985,1.1
1203,1984,1.5
1210,2022,2.0
1210,2021,3.0
1210,2020,2.2
1210,2019,2.0
1210,2018,2.7
1210,2017,1.5
