code,content,date
全訊,全訊:全訊科技股份有限公司（公司代號：5222）註銷收回股票事宜。,2022-12-21
華南金,華南金:公告募集暨交付華南金融控股股份有限公司111年度第1期無擔保普通公司債,2022-12-21
同開,同開:(代)本公司獨立董事通知有關成昀達獨董、施芸婷獨董於111年12月23日召集之股東臨時會之商業法院定暫時狀態處分之民事裁定,2022-12-21
中福,中福:本公司澄清獨立董事林俊廷召集112年2月6股東臨時會之召集事由,2022-12-21
中福,中福:本公司接獲獨立董事林俊廷召集112年2月6股東臨時會時程與作業通知,2022-12-21
泰福-KY,泰福-KY:代子公司台灣泰福生技股份有限公司公告會計主管異動,2022-12-21
泰福-KY,泰福-KY:公告本公司董事會決議通過辦理現金增資發行新股案,2022-12-21
太和-KY,太和-KY:接獲櫃買中心核准撤銷公開發行核准函,2022-12-21
開發金,開發金:(補正)中華開發金控代子公司中國人壽公告改變管理金融資產之經營模式，以111年10月1日為金融資產重分類日,2022-12-21
怡華,怡華:董事會決議通過購置新&#63843;市新莊區鴻&#64027;段441等地號7筆土地及地上建物。(更正輸入),2022-12-21
國泰金,國泰金:（補正）代子公司國泰人壽公告改變管理金融資產之經營模式，以111年10月1日為金融資產重分類日,2022-12-21
怡華,怡華:本公司處分宜蘭縣宜蘭市建案成屋房地一戶及二車位予關係人。,2022-12-21
中信金,中信金:（補正）代子公司台灣人壽公告9/30變更經營模式，並以10/1為資產重分類日。,2022-12-21
統一超,統一超:代子公司悠旅生活事業股份有限公司公告取得使用權資產(補充原公告資訊),2022-12-21
新光金,新光金:更正代子公司新光人壽公告改變管理金融資產之經營模式，以111年10月1日為金融資產重分類日,2022-12-21
統一超,統一超:代子公司統一生活事業股份有限公司公告取得使用權資產(補充原公告資訊),2022-12-21
統一超,統一超:本公司處分不動產使用權資產(補充原公告資訊),2022-12-21
怡華,怡華:董事會決議通過購置新&#63843;市新莊區鴻&#64027;段441等地號7筆土地及地上建物。,2022-12-21
百和,百和:補充111年08月25日公告本公司董事會決議江蘇百宏複合材料科技股份有限公司吸收合併無錫百宏置業有限公司,2022-12-21
百和,百和:公告子公司越南百和責任有限公司委任總經理,2022-12-21
百和,百和:公告派任子公司越南百和責任有限公司董事長,2022-12-21
基亞,基亞:開發中新藥OBP-301在日本的食道癌臨床第二期試驗收案完成,2022-12-21
經緯航,經緯航:公告本公司獲選經濟部「軍用商規無人機系統整合主導廠商」。,2022-12-21
永彰,"永彰:代子公司 TWNCAL CO., LTD. (BVI)公告處分惠州市易進工業有限公司股權(補充公告付款條件與價格決定之參考依據)",2022-12-21
永彰,"永彰:代子公司 TWNCAL INVESTMENT CO., LTD. (SAMOA)公告處分惠州市易進工業有限公司股權(補充公告付款條件與價格決定之參考依據)",2022-12-21
經緯航,經緯航:公告本公司董事會決議通過私募普通股補辦公開發行。,2022-12-21
欣大健康,欣大健康:公告本公司董事會決議111年第2次私募普通股訂價及私募現金增資基準日等相關事宜,2022-12-21
欣大健康,欣大健康:本公司公告稽核主管異動案,2022-12-21
雷虎,雷虎:本公司取得「軍用商規無人機系統整合主導廠商」資格,2022-12-21
欣大健康,欣大健康:依公開發行公司資金貸與及背書保證處理準則第二十二條第一項第三款公告,2022-12-21
合富-KY,合富-KY:公告本公司董事會通過對關係人捐贈事宜,2022-12-21
百和興業-KY,百和興業-KY:補充111年08月25日公告本公司董事會決議江蘇百宏複合材料科技股份有限公司吸收合併無錫百宏置業有限公司,2022-12-21
東浦,東浦:公告本公司召開法說會相關資訊,2022-12-21
信義,信義:本公司新增資金貸與達公開發行公司資金貸與及背書保證處理準則第二十二條第一項第二款及第三款公告標準,2022-12-21
信義,信義:公告本公司現金增資子公司ZhanCheng Tourism DevelopmentSdn. Bhd.,2022-12-21
富邦金,富邦金:富邦金控代日盛人身保代公告股東會重要決議事項,2022-12-21
華立捷,華立捷:廢止本公司內控作業辦法,2022-12-21
信義,信義:公告本公司之子公司ZhanCheng Tourism Development Sdn. Bhd.取得土地使用權,2022-12-21
三陽工業,三陽工業:公告本公司辦理庫藏股註銷完成實收資本額變更登記事宜,2022-12-21
神基,神基:代子公司漢達精密電子(昆山)有限公司公告董事會決議股利分派情形,2022-12-21
神基,神基:代子公司神基科技(股)公司公告董事會決議111年第三季盈餘分派之股利配發基準日,2022-12-21
神基,神基:代子公司漢通科技(股)公司公告董事會決議111年第三季盈餘分派之股利配發基準日,2022-12-21
華南金,華南金:代子公司華南金資產管理股份有限公司公告董事會決議通過依「都市更新條例」擔任實施者，與所有權人簽訂合建契約並挹注資金。,2022-12-21
擎邦,擎邦:擎邦國際科技工程股份有限公司（公司代號：6122）111年除權配股股票上櫃掛牌日期。,2022-12-21
上揚,上揚:本公司受邀參加元大證券舉辦之線上法人說明會,2022-12-21
富野,富野:公告本公司232間套房及14間商場出租人調降租金修改使用權,2022-12-21
國泰金,國泰金:代子公司國泰電業公告向國泰人壽保險(股)公司取得使用權資產,2022-12-21
國泰金,國泰金:代子公司國泰世華商業銀行公告授信資產之取得,2022-12-21
和鑫,和鑫:本公司受邀參加康和證券舉辦之線上法人說明會,2022-12-21
榮運,榮運:公告本公司董事會通過捐贈事宜,2022-12-21
泰偉,泰偉:公告本公司董事會通過向關係人取得使用權資產,2022-12-21
佐登-KY,佐登-KY:代重要子公司佐登妮絲(廣州)美容化妝品有限公司公告依公開發行公司資金貸與及背書保證處理準則第二十五條第一項第三款及第四款申報事項,2022-12-21
榮運,榮運:代本公司之重要子公司長榮物流(股)公司公告取得不動產使用權資產,2022-12-21
精誠,精誠:本公司新增資金貸與金額達新臺幣一千萬元以上且達本公司最近期財務報表淨值百分之二以上,2022-12-21
易威,易威:依公開發行公司資金貸與及背書保證處理準則第二十二條第一項第二款及第三款公告,2022-12-21
辣椒,辣椒:公告本公司董事會決議辦理111年第2次私募普通股定價及相關事宜,2022-12-21
榮運,榮運:公告本公司取得不動產使用權資產,2022-12-21
今皓,今皓:公告本公司召開法人說明會相關資訊,2022-12-21
精誠,精誠:本公司對子公司新增背書保證金額達新臺幣三千萬元以上且達本公司最近期財務報表淨值百分之五以上,2022-12-21
精誠,精誠:董事會決議註銷收回限制員工權利新股之減資基準日,2022-12-21
榮運,榮運:公告本公司處分不動產使用權資產,2022-12-21
合一,合一:公告本公司舉辦111年第四季線上法說會事宜,2022-12-21
新潤,新潤:本公司受邀參加合作金庫證券股份有限公司所舉辦之線上法人說明會。,2022-12-21
佳邦,佳邦:代重要子公司Inpaq (Cayman Islands) Ltd.公告董事會決議盈餘匯回案,2022-12-21
大同,大同:代子公司公告-尚志投資(股)公司向關係人取得不動產使用權資產,2022-12-21
榮運,榮運:公告本公司購買新北市汐止區保安段35筆土地之土地持分,2022-12-21
大同,大同:代子公司公告-大同壓鑄(股)公司向關係人取得不動產使用權資產,2022-12-21
浪凡,浪凡:本公司受邀參加永豐金證券舉辦之線上法說會,2022-12-21
晶悅,晶悅:公告本公司董事會決議授權董事長購買供營建用不動產或其使用權資產,2022-12-21
晶悅,晶悅:公告本公司設置公司治理主管,2022-12-21
晶悅,晶悅:公告本公司董事會通過更換股務代理機構,2022-12-21
光罩,光罩:公告本公司一一一年度第二次有擔保普通公司債主要發行條件,2022-12-21
台亞,台亞:本公司為子公司光磊先進顯示科技股份有限公司續約背書保證額度,2022-12-21
花仙子,花仙子:公告本公司董事辭任,2022-12-21
花仙子,花仙子:公告本公司重要營運主管及代理發言人異動,2022-12-21
台亞,台亞:公告本公司為子公司提供背書保證，依公開發行公司資金貸與及背書保證處理準則第二十五條第一項第三款及第四款申報事項,2022-12-21
華南金,華南金:華南金融控股股份有限公司111年度第1期無擔保普通公司債B券(次順位)新台幣參拾壹億元整，訂於民國111年12月22日起在證券商營業處所進行櫃檯買賣。,2022-12-21
華南金,華南金:華南金融控股股份有限公司111年度第1期無擔保普通公司債C券(次順位)新台幣參拾壹億元整，訂於民國111年12月22日起在證券商營業處所進行櫃檯買賣。,2022-12-21
華南金,華南金:華南金融控股股份有限公司111年度第1期無擔保普通公司債A券(主順位)新台幣參拾億元整，訂於民國111年12月22日起在證券商營業處所進行櫃檯買賣。,2022-12-21
華南金,華南金:華南金融控股股份有限公司111年度第1期無擔保普通公司債櫃檯買賣公告,2022-12-21
再生-KY,再生-KY:代子公司三斯達（福建）有限公司公告-將以自地委建方式取得不動產,2022-12-21
再生-KY,再生-KY:公告本公司董事會通過授權子公司三斯達（福建）有限公司進行土地購入案,2022-12-21
中航,中航:代重要子公司China Pride Shipping Limited 公告發放現金股利,2022-12-21
中航,中航:代重要子公司Chinese Maritime Transport(S) Pte. Ltd.公告發放現金股利。,2022-12-21
程泰,程泰:公告本公司配合會計師事務所內部調整更換會計師,2022-12-21
錩新,錩新:本公司受邀參加玉山證券舉辦之線上法說會,2022-12-21
易飛網,易飛網:本公司111年度現金增資催繳公告,2022-12-21
馬光-KY,馬光-KY:(更正111/11/07)代子公司MKHM及MKH依公開發行公司資金貸與及背書保證處理準則 第25條第1項第4款公告,2022-12-21
馬光-KY,馬光-KY:(更正111/11/07公告)依公開發行公司資金貸與及背書保證處理準則第25條第1項第4款公告,2022-12-21
雷虎,雷虎:公告董事會決議辦理111年度第一次現金增資案,2022-12-21
杏一,杏一:本公司受邀參加國泰綜合證券舉辦之線上法人說明會,2022-12-21
達方,達方:代子公司蘇州達方電子有限公司公告處分土地使用權及建物案,2022-12-21
台南,台南:(補公告)代子公司台南企業(維爾京)股份有限公司公告，新增資金貸與金額達新臺幣一千萬元以上且達本公司最近期財務報表淨值百分之二以上。,2022-12-21
富強鑫,富強鑫:公告富強鑫精密工業股份有限公司國內國內第三次無擔保轉(交)換公司債(簡稱：富強鑫三，代碼：66033)換發之普通股股票開始櫃檯買賣日期。,2022-12-21
光寶科,光寶科:本公司代子公司LITE-ON CHINA HOLDING CO. LTD.公告現金股利除息基準日,2022-12-21
光寶科,光寶科:本公司代子公司LITE-ON CHINA HOLDING CO. LTD.公告董事會決議發放股利,2022-12-21
中鋼,中鋼:代子公司高科磁技公司公告取得不動產使用權資產,2022-12-21
蔚華科,蔚華科:公告本公司召開法說會,2022-12-21
力特,力特:公告本公司召開法人說明會相關資訊,2022-12-21
統一,統一:公告本公司董事會通過捐贈事宜,2022-12-21
臺龍,臺龍:公告本公司召開法人說明會相關資訊,2022-12-21
悅城,悅城:公告本公司受邀參加凱基證券舉辦之法人說明會,2022-12-21
台光電,台光電:公告本公司及子公司董事會決議通過子公司投資協議案,2022-12-21
朋程,朋程:本公司受邀參加元大證券所舉辦之線上法說會,2022-12-21
岳豐,岳豐:公告本公司111年11月份自結合併財務報告之負債比率、流動比率及速動比率,2022-12-21
聯嘉,聯嘉:聯嘉光電股份有限公司（公司代號：6288）111年第3季轉換普通股股票已上市股數。,2022-12-21
聯合,聯合:聯合骨科器材股份有限公司特別股（簡稱：聯合甲特，代號：4129A）首次換發之普通股股票開始上櫃買賣日期。,2022-12-21
聯昌,聯昌:代重要子公司根茂電子(蘇州)有限公司公告董事異動,2022-12-21
青雲,青雲:本公司於12月22日辦理線上法說會,2022-12-21
及成,及成:公告本公司受邀參加中國信託綜合證券股份有限公司舉辦之法人說明會,2022-12-21
和勤,和勤:更正代子公司嘉興和新精沖科技有限公司依公開發行公司資金貸與及背書保證處理準則第二十二條第一項第三款規定公告,2022-12-21
新產,新產:本公司受邀參加永豐金證券線上法人說明會,2022-12-21
