code,content,date
冠德,冠德:公告本公司取得臺中市西屯區惠國段土地權利,2022-10-21
新興,"新興:(代)重要子公司樂利公司現金增資持股100%子公司Steady Way Limited 美金2,575萬元，做為購船資金來源。",2022-10-21
新興,新興:(代) 樂利航運公司為持股100%子公司Steady Way Limited購置船舶案擔任保證人。,2022-10-21
厚生,厚生:本公司獨立董事就審計委員會、董事會之議決事項表示保留意見,2022-10-21
中信金,中信金:(補充108/03/11公告)代子公司台灣人壽保險(股)公司公告本公司委託新世紀資通(股)公司建置保險新核心系統,2022-10-21
新興,新興:本公司子公司樂利100%轉投資子公司Steady Way Limited擬購置散裝貨輪壹艘，預計111年12月上旬前交船。,2022-10-21
厚生,厚生:公告本公司董事會重要決議,2022-10-21
鈊象,鈊象:本公司預計於111年10月27日召開法人說明會,2022-10-21
網家,網家:代重要子公司拍付國際資訊(股)公司公告股東臨時會地點及相關事宜,2022-10-21
網家,網家:代重要子公司廿一世紀數位科技(股)公司補充公告111/3/31之架構重組基準日相關事宜,2022-10-21
正峰,正峰:更正公告本公司代子公司上海正峰工業有限公司依「公開發行公司資金貸與及背書保證處理準則」第二十二條第一項第一款之規定辦理。,2022-10-21
網家,網家:代重要子公司廿一世紀數位科技(股)公司公告股東臨時會決議事項,2022-10-21
亞德客-KY,亞德客-KY:公告本公司受邀參加瑞銀證券(股)公司舉辦之線上法人說明會,2022-10-21
永豐金,永豐金:永豐金控代子公司永豐銀行公告董事會通過111年度捐助財團法人中小企業信用保證基金捐助款,2022-10-21
永豐金,永豐金:永豐金控董事會決議辦理現金增資發行普通股,2022-10-21
元大金,元大金:元大金控代子公司元大證券(香港)公告處分部分不動產使用權資產予關係人元大期貨(香港),2022-10-21
如興,如興:公告處分本公司之子公司股權,2022-10-21
富驛-KY,富驛-KY:公告本公司召開法人說明會,2022-10-21
群創,群創:終止處分有價證券,2022-10-21
正峰,正峰:公告本公司依公開發行公司資金貸與及背書保證處理準則第22條第一項第一款規定辦理。,2022-10-21
直得,直得:公告本公司董事會決議買回庫藏股事宜(更正買回股份總金額上限及轉讓員工辦法第四、第五條),2022-10-21
鉅明,鉅明:公告本公司及列入合併財務報表之子公司111年9月底之負債比率、流動比率及速動比率,2022-10-21
