code,content,date
欣大健康,欣大健康:補正-代非公開發行公司取得人依證交法第43條之1第1項規定辦理公告,2022-11-23
新美齊,新美齊:新美齊股份有限公司107年度第1次有擔保普通公司債第4次付息公告。,2022-11-23
聯光通,聯光通:公告本公司減資換發股票相關事項,2022-11-23
越峰,越峰:代重要子公司越峰電子(廣州)有限公司公告，鐵芯研磨汙泥未依危險廢物管理計劃處理，受罰金額計人民幣37萬1仟元。,2022-11-23
虹光,虹光:公告本公司111年現金增資發行新股相關事宜(補充公告),2022-11-23
元大金,元大金:元大金控代子公司元大銀行公告向元大證金取得使用權資產,2022-11-23
聯光通,聯光通:公告本公司辦理減資資本變更登記完成及董事長訂定減資換股基準日、減資作業計畫相關事宜,2022-11-23
德昌,德昌:本公司受邀參加台新證券舉辦之法人說明會,2022-11-23
漢科,漢科:本公司受邀參加櫃買中心業績發表會,2022-11-23
生達,"生達:代子公司Standard Pharmaceutical Co., Ltd. 公告資金貸與達「公開發行公司資金貸與及背書保證處理準則」第22條第1項第3款之公告標準",2022-11-23
玉山金,玉山金:玉山金控代子公司玉山證券公告代理發言人異動,2022-11-23
永裕,永裕:代重要子公司精奕興業(股)公司公告董事會推選王威程先生為董事長。,2022-11-23
冠西電,冠西電:公告冠西電股份有限公司國內第三次有擔保轉換公司債轉換公司債(簡稱：冠西電三，代碼：24663)自111年12月13日起，轉換價格自36.9元調整為35.5元。,2022-11-23
同亨,同亨:同亨科技股份有限公司（公司代號：5490）註銷收回股票事宜。,2022-11-23
信驊,信驊:信驊科技股份有限公司（公司代號：5274）註銷收回股票事宜。,2022-11-23
光隆,光隆:光隆實業股份有限公司特別股111年第3季轉換普通股股票上櫃買賣日期。,2022-11-23
允強,允強:允強實業股份有限公司（公司代號：2034）111年第3季轉換普通股股票已上市股數。,2022-11-23
光隆,光隆:光隆實業股份有限公司甲種特別股111年第3季轉換普通股數額。,2022-11-23
兆利,兆利:代重要子公司兆利電子科技(上海)有限公司公告處分理財商品,2022-11-23
碩禾,碩禾:補充公告111/05/26本公司代子公司WISDOM FIELD LIMITED依公開發行公司資金貸與及背書保證處理準則第二十二條第一項第三款規定公告,2022-11-23
國巨,國巨:代子公司Yageo Europe Holding B.V.公告董事會決議對YAGEO ELECTRONICS HOLDING (S) PTE. LTD.增資案,2022-11-23
輔信,輔信:本公司受邀參加康和證券舉辦之線上法人說明會,2022-11-23
南僑,南僑:代重要子公司南僑(開曼島)控股公司及南新國際公司公告董事會決議盈餘分配案,2022-11-23
牧東,牧東:代重要子公司南通四合不鏽鋼製品有限公司公告監察人異動,2022-11-23
國巨,國巨:代子公司Yageo Europe Holding B.V. 公告其董事會決議增資,2022-11-23
國巨,國巨:代子公司YAGEO HOLDING (BERMUDA) LIMITED公告其董事會決議減資,2022-11-23
